GUIA-DT-05.GUIA.local;2022-09-28 12:06:57;Windows Defender
DESKTOP-6I2UJH4;2022-09-28 14:09:44;My first Log
DESKTOP-6I2UJH4;2022-09-28 14:31:53;My first Log
DESKTOP-6I2UJH4;2022-09-28 14:38:08;My first Log
DESKTOP-6I2UJH4;2022-09-28 14:40:03;My first Log
DESKTOP-6I2UJH4;2022-09-28 14:40:16;My first Log
DESKTOP-6I2UJH4;2022-09-28 14:40:16;My first Log
DESKTOP-6I2UJH4;2022-09-28 14:40:18;My first Log
DESKTOP-6I2UJH4;2022-09-28 16:46:40;My first Log
DESKTOP-6I2UJH4;2022-09-28 16:47:58;My first Log
DESKTOP-6I2UJH4;2022-09-28 16:48:22;My first Log
DESKTOP-6I2UJH4;2022-09-28 16:48:23;My first Log
DESKTOP-6I2UJH4;2022-09-28 16:48:25;My first Log
DESKTOP-6I2UJH4;2022-09-28 16:48:25;My first Log
